,predict,name,position
687,0.83,Lewis Hall,MID
688,0.99,Malang Sarr,DEF
689,1.8225,Marcos Alonso,DEF
690,0.68,Marcus Bettinelli,GK
691,1.76,Mason Mount,MID
692,1.64,Mateo Kovacic,MID
693,0.98,Michy Batshuayi,FWD
694,1.46,N'Golo Kanté,MID
695,0.99,Olivier Giroud,FWD
696,1.51,Reece James,DEF
697,0.76,Robert Kenedy Nunes do Nascimento,DEF
698,2.27,Romelu Lukaku,FWD
699,1.24,Ross Barkley,MID
700,1.2,Ruben Loftus-Cheek,MID
701,0.82,Saúl Ñíguez,MID
702,0.99,Tammy Abraham,FWD
703,1.73,Thiago Emiliano da Silva,DEF
704,1.71,Timo Werner,FWD
705,0.74,Trevoh Chalobah,DEF
