,predict,name,position,team
538,2.63,Oleksandr Zinchenko,DEF,Man City
539,2.96,Oliver Skipp,MID,Spurs
540,2.4,Olivier Giroud,FWD,Chelsea
541,3.53,Ollie Watkins,FWD,Aston Villa
542,0.78,Omari Hutchinson,MID,Arsenal
543,1.35,Onel Hernández,MID,Norwich
544,2.2304166666666667,Oriol Romeu Vidal,MID,Southampton
545,0.97,Owen Beck,DEF,Liverpool
546,1.96,Owen Dodgson,DEF,Burnley
547,2.23,Owen Otasowie,MID,Wolves
548,1.84,Ozan Kabak,DEF,Liverpool
549,2.25,Ozan Tufan,MID,Watford
550,3.5,Pablo Fornals,MID,West Ham
551,2.2,Pablo Hernández Domínguez,MID,Leeds
552,1.98,Pablo Marí,DEF,Arsenal
553,2.43,Paris Maghoma,MID,Brentford
554,3.3,Pascal Groß,MID,Brighton
555,2.12,Pascal Struijk,DEF,Leeds
556,5.08,Patrick Bamford,FWD,Leeds
